"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FYN",7.32443526945643e-20,0.401779881056243,0.321,0.221,1.26983734266566e-15,"PC NKX2-1 LMO1","FYN"
"KIF5B",1.24831898615759e-19,0.395403607775366,0.614,0.545,2.16421062630142e-15,"PC NKX2-1 LMO1","KIF5B"
"SPRY21",2.389339686538e-19,0.27431098151181,0.119,0.057,4.14239821455093e-15,"PC NKX2-1 LMO1","SPRY2"
"CENPT",2.53070092034148e-19,0.317426982108801,0.211,0.126,4.38747618559603e-15,"PC NKX2-1 LMO1","CENPT"
"TOP2A",2.91787606741183e-19,0.593250597754712,0.507,0.415,5.05872173807189e-15,"PC NKX2-1 LMO1","TOP2A"
"PRTFDC1",3.80036265302842e-19,0.385162802272971,0.459,0.361,6.58868873155538e-15,"PC NKX2-1 LMO1","PRTFDC1"
"HES4",3.81842378053054e-19,0.472238729188829,0.431,0.33,6.62000130830581e-15,"PC NKX2-1 LMO1","HES4"
"CDK1",4.3478670136362e-19,0.515791251806197,0.398,0.299,7.53789704154108e-15,"PC NKX2-1 LMO1","CDK1"
"HMGB2",4.4687920422897e-19,0.490856451284744,0.706,0.654,7.74754476371766e-15,"PC NKX2-1 LMO1","HMGB2"
"SEC11C",1.03277306119993e-18,0.442821442007068,0.329,0.234,1.79051865620233e-14,"PC NKX2-1 LMO1","SEC11C"
"IDH21",1.08653564381515e-18,0.326831228073076,0.684,0.614,1.88372684568232e-14,"PC NKX2-1 LMO1","IDH2"
"VAX1",1.5778701860708e-18,0.290813582111394,0.151,0.079,2.73555354159094e-14,"PC NKX2-1 LMO1","VAX1"
"PNISR1",2.68046999578991e-18,0.323227434757438,0.692,0.634,4.64713083170097e-14,"PC NKX2-1 LMO1","PNISR"
"NUSAP1",5.32573834304563e-18,0.494556468561463,0.428,0.331,9.2332325653382e-14,"PC NKX2-1 LMO1","NUSAP1"
"AURKA",5.5716403901041e-18,0.354068879674257,0.178,0.103,9.65955294432348e-14,"PC NKX2-1 LMO1","AURKA"
"TOX3",6.54318305043693e-18,0.388732928220084,0.261,0.17,1.13439164545425e-13,"PC NKX2-1 LMO1","TOX3"
"ADGRV1",8.03231270954193e-18,0.295958451942539,0.225,0.136,1.39256205445329e-13,"PC NKX2-1 LMO1","ADGRV1"
"NPAS3",8.57578684011865e-18,0.32141797555003,0.257,0.165,1.48678416447137e-13,"PC NKX2-1 LMO1","NPAS3"
"ARHGEF39",1.00065337442257e-17,0.264754167744797,0.121,0.06,1.73483275523641e-13,"PC NKX2-1 LMO1","ARHGEF39"
"MPPED2",1.33323453449615e-17,0.40119427920799,0.186,0.11,2.31142871245597e-13,"PC NKX2-1 LMO1","MPPED2"
"ZWINT",2.21264910281241e-17,0.435505266229699,0.376,0.28,3.83606974954588e-13,"PC NKX2-1 LMO1","ZWINT"
"SMC4",3.10186501624288e-17,0.47236477722858,0.503,0.427,5.37770337866028e-13,"PC NKX2-1 LMO1","SMC4"
"COL2A1",3.16452940464439e-17,0.408482819603231,0.226,0.145,5.48634462883198e-13,"PC NKX2-1 LMO1","COL2A1"
"AP1S2",4.061093356143e-17,0.391701925517343,0.417,0.324,7.04071755154511e-13,"PC NKX2-1 LMO1","AP1S2"
"ARL4C1",4.19695463839524e-17,0.402647026220984,0.374,0.281,7.27626025658583e-13,"PC NKX2-1 LMO1","ARL4C"
"LSAMP",1.38594202978278e-16,0.307232120239922,0.215,0.134,2.40280769703441e-12,"PC NKX2-1 LMO1","LSAMP"
"PDLIM5",1.99843067253534e-16,0.39885939815613,0.284,0.2,3.46467925697451e-12,"PC NKX2-1 LMO1","PDLIM5"
"ZIC11",2.68693790453766e-16,0.349830421893082,0.371,0.279,4.65834424509694e-12,"PC NKX2-1 LMO1","ZIC1"
"RGS16",2.8333695290388e-16,0.452784795845909,0.146,0.081,4.91221275249456e-12,"PC NKX2-1 LMO1","RGS16"
"AURKB",3.51838268289634e-16,0.38519194757554,0.243,0.16,6.09982005733738e-12,"PC NKX2-1 LMO1","AURKB"
"NDC80",3.66873071054314e-16,0.396872572026684,0.265,0.18,6.36047843286865e-12,"PC NKX2-1 LMO1","NDC80"
"PIMREG",4.1361922029416e-16,0.411329447243769,0.195,0.121,7.17091642223985e-12,"PC NKX2-1 LMO1","PIMREG"
"KIF22",6.69218428897337e-16,0.350430566783803,0.299,0.211,1.16022399017931e-11,"PC NKX2-1 LMO1","KIF22"
"IGDCC3",1.46879802644357e-15,0.401602984061222,0.206,0.132,2.54645513844522e-11,"PC NKX2-1 LMO1","IGDCC3"
"BLCAP",1.9396930339413e-15,0.415466142958919,0.256,0.175,3.36284581294404e-11,"PC NKX2-1 LMO1","BLCAP"
"CENPC",1.99062260005961e-15,0.320690494073575,0.256,0.172,3.45114240172335e-11,"PC NKX2-1 LMO1","CENPC"
"RPN2",2.21988615235534e-15,0.360545578198551,0.417,0.335,3.84861662233845e-11,"PC NKX2-1 LMO1","RPN2"
"SGO1",3.11226095870356e-15,0.423194800252407,0.294,0.211,5.39572682410435e-11,"PC NKX2-1 LMO1","SGO1"
"JUND",4.30458759896111e-15,0.380934171699534,0.723,0.717,7.46286352031888e-11,"PC NKX2-1 LMO1","JUND"
"NES",7.30248800752655e-15,0.331615091720979,0.647,0.597,1.26603234586488e-10,"PC NKX2-1 LMO1","NES"
"PCBP4",7.40926582353643e-15,0.315789956409625,0.385,0.287,1.28454441582651e-10,"PC NKX2-1 LMO1","PCBP4"
"KIF23",1.06670430323039e-14,0.347463916380256,0.224,0.148,1.84934525051053e-10,"PC NKX2-1 LMO1","KIF23"
"PBK",1.09895927531947e-14,0.363564597096964,0.326,0.238,1.90526569562137e-10,"PC NKX2-1 LMO1","PBK"
"AKIRIN2",1.1312088678643e-14,0.345406230064894,0.318,0.233,1.96117681421634e-10,"PC NKX2-1 LMO1","AKIRIN2"
"CKS1B",2.06583493864315e-14,0.408054799709282,0.519,0.453,3.58153803312563e-10,"PC NKX2-1 LMO1","CKS1B"
"SERPINB6",2.20400525836745e-14,0.352342509626943,0.219,0.146,3.82108391643165e-10,"PC NKX2-1 LMO1","SERPINB6"
"UBE2S",2.65430941754399e-14,0.462285731628982,0.503,0.428,4.60177623719602e-10,"PC NKX2-1 LMO1","UBE2S"
"CDK2AP1",2.83612321753905e-14,0.28565438647698,0.741,0.703,4.91698682224744e-10,"PC NKX2-1 LMO1","CDK2AP1"
"HJURP",2.85760299149829e-14,0.264600664445856,0.132,0.074,4.95422630636058e-10,"PC NKX2-1 LMO1","HJURP"
"KNSTRN",3.01269322642444e-14,0.443669727999841,0.273,0.193,5.22310624665204e-10,"PC NKX2-1 LMO1","KNSTRN"
"FBXO5",3.17985013968819e-14,0.319371213776068,0.294,0.21,5.51290618717742e-10,"PC NKX2-1 LMO1","FBXO5"
"PUF60",3.2502127886297e-14,0.333974031107455,0.544,0.489,5.63489391164732e-10,"PC NKX2-1 LMO1","PUF60"
"CKAP2L",3.52078882078698e-14,0.251245754237617,0.14,0.08,6.10399157859838e-10,"PC NKX2-1 LMO1","CKAP2L"
"OTX21",4.04653076558714e-14,0.362174331568503,0.275,0.197,7.01547038829842e-10,"PC NKX2-1 LMO1","OTX2"
"MKI67",5.75741582508793e-14,0.438261866437336,0.417,0.335,9.98163181595495e-10,"PC NKX2-1 LMO1","MKI67"
"CCNA2",7.60690145654084e-14,0.400641120498021,0.319,0.236,1.31880850552049e-09,"PC NKX2-1 LMO1","CCNA2"
"TLE3",1.17026585655419e-13,0.323882486343529,0.216,0.143,2.02888991550799e-09,"PC NKX2-1 LMO1","TLE3"
"EIF5",1.2090263609896e-13,0.284905552789605,0.605,0.545,2.09608900204767e-09,"PC NKX2-1 LMO1","EIF5"
"HMMR",1.25347602773329e-13,0.32464422114321,0.205,0.134,2.17315138928121e-09,"PC NKX2-1 LMO1","HMMR"
"CDC25C",1.70666713909051e-13,0.255698623060467,0.149,0.088,2.95884881904121e-09,"PC NKX2-1 LMO1","CDC25C"
"ZNF462",2.18925298157549e-13,0.334136677757577,0.44,0.36,3.79550789415742e-09,"PC NKX2-1 LMO1","ZNF462"
"SPAG5",2.38248035843953e-13,0.252270821948452,0.137,0.08,4.13050619742662e-09,"PC NKX2-1 LMO1","SPAG5"
"CENPE",2.68723830341119e-13,0.404069642639898,0.241,0.168,4.65886504662398e-09,"PC NKX2-1 LMO1","CENPE"
"SGO2",3.88862224979408e-13,0.410403279885657,0.256,0.181,6.741704394468e-09,"PC NKX2-1 LMO1","SGO2"
"PPA2",1.60435280041272e-12,0.295858357184212,0.186,0.122,2.78146645007554e-08,"PC NKX2-1 LMO1","PPA2"
"BUB3",1.68279860742275e-12,0.343408274967493,0.383,0.306,2.91746794568882e-08,"PC NKX2-1 LMO1","BUB3"
"GTSE1",1.72228482248564e-12,0.304294414961438,0.261,0.185,2.98592519674335e-08,"PC NKX2-1 LMO1","GTSE1"
"TACC3",1.80162971017374e-12,0.297934912281081,0.273,0.196,3.12348542852822e-08,"PC NKX2-1 LMO1","TACC3"
"PLK1",1.9454354876023e-12,0.395207400445372,0.198,0.132,3.37280150485611e-08,"PC NKX2-1 LMO1","PLK1"
"TCF7L1",2.31329648303378e-12,0.304909975697847,0.185,0.121,4.01056211263567e-08,"PC NKX2-1 LMO1","TCF7L1"
"VEZF1",3.69668224711545e-12,0.341819785480087,0.414,0.34,6.40893801182406e-08,"PC NKX2-1 LMO1","VEZF1"
"UBE2T",5.7786840899732e-12,0.339965588454274,0.299,0.223,1.00185046067865e-07,"PC NKX2-1 LMO1","UBE2T"
"RAD21",6.25470723871493e-12,0.348405532547417,0.485,0.423,1.08437859397601e-07,"PC NKX2-1 LMO1","RAD21"
"CENPF",8.80915277318809e-12,0.684601538153909,0.479,0.426,1.52724281628762e-07,"PC NKX2-1 LMO1","CENPF"
"IGFBP21",9.73627587069791e-12,0.372939588118398,0.8,0.843,1.6879781477029e-07,"PC NKX2-1 LMO1","IGFBP2"
"GPSM2",1.00690277824034e-11,0.262076430193312,0.208,0.141,1.74566734663528e-07,"PC NKX2-1 LMO1","GPSM2"
"BIRC5",1.36576161811123e-11,0.396138858592651,0.356,0.284,2.36782091731944e-07,"PC NKX2-1 LMO1","BIRC5"
"NCAM1",1.4752000187266e-11,0.276378345900748,0.201,0.135,2.5575542724663e-07,"PC NKX2-1 LMO1","NCAM1"
"CKAP2",2.0397012651858e-11,0.355245212230288,0.263,0.192,3.53623008345262e-07,"PC NKX2-1 LMO1","CKAP2"
"NDN",2.15644612071179e-11,0.369076098229162,0.529,0.483,3.73863063947803e-07,"PC NKX2-1 LMO1","NDN"
"USP11",2.77978541712095e-11,0.294486016113471,0.224,0.158,4.8193139776626e-07,"PC NKX2-1 LMO1","USP11"
"DHPS",2.95283569881313e-11,0.298630025207976,0.379,0.304,5.11933125103232e-07,"PC NKX2-1 LMO1","DHPS"
"CDC42EP4",5.59077610222769e-11,0.275053395838886,0.224,0.158,9.69272852843214e-07,"PC NKX2-1 LMO1","CDC42EP4"
"CCN1",8.21880982259088e-11,0.33867303036187,0.164,0.109,1.42489505894258e-06,"PC NKX2-1 LMO1","CCN1"
"ATP1B3",1.04256964097843e-10,0.299846037445645,0.437,0.371,1.8075029865643e-06,"PC NKX2-1 LMO1","ATP1B3"
"LRATD2",1.09880160810412e-10,0.30594134981411,0.121,0.074,1.90499234797011e-06,"PC NKX2-1 LMO1","LRATD2"
"MYO1B",1.26165864180802e-10,0.293011336555977,0.161,0.106,2.18733758730256e-06,"PC NKX2-1 LMO1","MYO1B"
"ATF4",1.39827739657579e-10,0.28952389059954,0.457,0.387,2.42419352244345e-06,"PC NKX2-1 LMO1","ATF4"
"ZNF219",2.35197659226114e-10,0.332615575505019,0.337,0.271,4.07762181800313e-06,"PC NKX2-1 LMO1","ZNF219"
"GLCCI1",3.56605165093933e-10,0.262955614258769,0.179,0.12,6.18246374723351e-06,"PC NKX2-1 LMO1","GLCCI1"
"KIFC1",3.61207604963265e-10,0.285689740312365,0.177,0.121,6.26225624724813e-06,"PC NKX2-1 LMO1","KIFC1"
"NUF2",4.50545587370342e-10,0.27992544450356,0.36,0.284,7.81110884823963e-06,"PC NKX2-1 LMO1","NUF2"
"CDCA8",5.77247843764874e-10,0.287728012405083,0.215,0.153,1.00077458673516e-05,"PC NKX2-1 LMO1","CDCA8"
"DESI2",6.91997630718016e-10,0.268709056295647,0.262,0.198,1.19971629237582e-05,"PC NKX2-1 LMO1","DESI2"
"MACF1",8.2379577081492e-10,0.29569242936833,0.381,0.32,1.42821472786183e-05,"PC NKX2-1 LMO1","MACF1"
"TCF12",8.34101941502675e-10,0.259490930519216,0.194,0.136,1.44608253598319e-05,"PC NKX2-1 LMO1","TCF12"
"FAT1",8.58994108451467e-10,0.282374781508801,0.272,0.209,1.48923808582231e-05,"PC NKX2-1 LMO1","FAT1"
"MZT1",1.64650373439278e-09,0.325368958692661,0.409,0.347,2.85454352431676e-05,"PC NKX2-1 LMO1","MZT1"
"PLEKHO1",2.52240756146962e-09,0.304048212844107,0.417,0.362,4.37309798931987e-05,"PC NKX2-1 LMO1","PLEKHO1"
"AUTS2",2.86655844292145e-09,0.275918386448635,0.262,0.2,4.96975237249292e-05,"PC NKX2-1 LMO1","AUTS2"
"NKAIN4",2.9188385664591e-09,0.257503937471847,0.175,0.119,5.06039042267015e-05,"PC NKX2-1 LMO1","NKAIN4"
"CYTH2",3.46605981355107e-09,0.277748639776049,0.268,0.206,6.00910789875349e-05,"PC NKX2-1 LMO1","CYTH2"
"SLIT21",5.37220007996133e-09,0.264763694870678,0.208,0.154,9.31378327862896e-05,"PC NKX2-1 LMO1","SLIT2"
"TUBA1C",5.45070930748355e-09,0.377454323977769,0.315,0.255,9.44989472638423e-05,"PC NKX2-1 LMO1","TUBA1C"
"PFN2",5.83826333623134e-09,0.273167887237504,0.577,0.531,0.000101217971460243,"PC NKX2-1 LMO1","PFN2"
"CHD9",7.62576890707452e-09,0.272767647474156,0.389,0.329,0.000132207955541951,"PC NKX2-1 LMO1","CHD9"
"TPX2",1.10870932919843e-08,0.351809970754461,0.311,0.252,0.000192216936403131,"PC NKX2-1 LMO1","TPX2"
"NOTCH1",1.12177266175191e-08,0.26835382720932,0.282,0.221,0.000194481726367928,"PC NKX2-1 LMO1","NOTCH1"
"NCOR2",1.89037061104333e-08,0.259670012661583,0.147,0.1,0.000327733552836582,"PC NKX2-1 LMO1","NCOR2"
"MOB3B",2.31085450707296e-08,0.27693624345859,0.225,0.169,0.000400632845891239,"PC NKX2-1 LMO1","MOB3B"
"TMEM132A",2.43179595090425e-08,0.297882199198156,0.183,0.133,0.00042160046400827,"PC NKX2-1 LMO1","TMEM132A"
"CHD2",4.92072743404647e-08,0.269782692476939,0.627,0.608,0.000853106515240636,"PC NKX2-1 LMO1","CHD2"
"ZFR",7.66813080720618e-08,0.269504421944061,0.395,0.343,0.00132942383804533,"PC NKX2-1 LMO1","ZFR"
"CDKN3",8.08536469683573e-08,0.307441498260192,0.265,0.208,0.00140175967749041,"PC NKX2-1 LMO1","CDKN3"
"KIF20B",8.78882473792904e-08,0.276080087365752,0.294,0.235,0.00152371854481476,"PC NKX2-1 LMO1","KIF20B"
"CDK6",9.81882054556624e-08,0.253709946356024,0.195,0.143,0.00170228891798482,"PC NKX2-1 LMO1","CDK6"
"HNRNPUL1",1.12984244053291e-07,0.252186763674599,0.33,0.277,0.0019588078391519,"PC NKX2-1 LMO1","HNRNPUL1"
"RTKN2",1.20554572864793e-07,0.25011997619022,0.198,0.148,0.00209005462975692,"PC NKX2-1 LMO1","RTKN2"
"TACC2",1.39166120392636e-07,0.279916295875275,0.139,0.096,0.00241272302924714,"PC NKX2-1 LMO1","TACC2"
"PJVK",1.74013933336891e-07,0.272019897272097,0.21,0.16,0.00301687956226167,"PC NKX2-1 LMO1","PJVK"
"CLIC4",1.99100006979596e-07,0.256538694079794,0.291,0.237,0.00345179682100525,"PC NKX2-1 LMO1","CLIC4"
"GOLGA7",2.00788547615025e-07,0.259746257278463,0.264,0.211,0.00348107105000169,"PC NKX2-1 LMO1","GOLGA7"
"CCNB1",3.08616245048828e-07,0.375806868259633,0.303,0.25,0.00535047984041153,"PC NKX2-1 LMO1","CCNB1"
"PTTG1",3.47039195845605e-07,0.336177518388427,0.501,0.457,0.00601661853837526,"PC NKX2-1 LMO1","PTTG1"
"ZNF5211",3.76820903664657e-07,0.256285221450328,0.227,0.176,0.00653294400683416,"PC NKX2-1 LMO1","ZNF521"
"MRPS18A",3.92909191114564e-07,0.282362736540988,0.313,0.26,0.0068118666463532,"PC NKX2-1 LMO1","MRPS18A"
"DLGAP5",5.28806029522254e-07,0.30913006062591,0.252,0.203,0.00916791013382732,"PC NKX2-1 LMO1","DLGAP5"
"H2AFX",6.96019021643381e-07,0.355306068369637,0.506,0.48,0.0120668817782313,"PC NKX2-1 LMO1","H2AFX"
"CCNB2",1.07521804063055e-06,0.314143018751198,0.359,0.31,0.0186410551704118,"PC NKX2-1 LMO1","CCNB2"
"SOX41",1.36889173070627e-06,0.465822508310789,0.884,0.888,0.0237324759352546,"PC NKX2-1 LMO1","SOX4"
"CKAP5",1.76857906287227e-06,0.260463213517037,0.265,0.217,0.0306618552130166,"PC NKX2-1 LMO1","CKAP5"
"CD300LG",2.02974554354053e-06,0.268629075971599,0.139,0.1,0.0351896984883621,"PC NKX2-1 LMO1","CD300LG"
"MAF1",4.36256408864287e-06,0.259620510747887,0.34,0.298,0.0756337736048015,"PC NKX2-1 LMO1","MAF1"
"JMJD1C",1.20860770783604e-05,0.261299455703645,0.227,0.189,0.209536318307535,"PC NKX2-1 LMO1","JMJD1C"
"LOC114677671",1.34734917950883e-05,0.339586834067786,0.431,0.389,0.233589927251446,"PC NKX2-1 LMO1","LOC114677671"
"HES6",1.75975372270897e-05,0.260053234223543,0.398,0.352,0.305088502906053,"PC NKX2-1 LMO1","HES6"
"DDIT4",0.00182487428524562,0.26758820997026,0.175,0.149,1,"PC NKX2-1 LMO1","DDIT4"
"NKX6-2",0,2.0321996112814,0.397,0.032,0,"PC NKX2-1 NKX6-2","NKX6-2"
"SPON11",5.7489322147063e-178,1.29888078051828,0.292,0.038,9.96692378063632e-174,"PC NKX2-1 NKX6-2","SPON1"
"VAX11",9.46177951749743e-121,0.952572189885431,0.348,0.074,1.64038871494853e-116,"PC NKX2-1 NKX6-2","VAX1"
"FST",1.49940616666593e-99,1.24038415037074,0.392,0.112,2.59952047114872e-95,"PC NKX2-1 NKX6-2","FST"
"TMEM132B",2.44005548130421e-92,0.532308565910675,0.113,0.01,4.2303241879371e-88,"PC NKX2-1 NKX6-2","TMEM132B"
"SOX3",3.97462471972033e-87,0.947573211580644,0.319,0.083,6.89080687657914e-83,"PC NKX2-1 NKX6-2","SOX3"
"FZD51",1.14076715274407e-84,0.809778025149576,0.294,0.071,1.9777480127124e-80,"PC NKX2-1 NKX6-2","FZD5"
"FOXG11",4.56896518353666e-82,0.911544339083592,0.829,0.457,7.9212149386975e-78,"PC NKX2-1 NKX6-2","FOXG1"
"PEG10",9.28952282686192e-78,1.01463198077619,0.372,0.117,1.61052457249305e-73,"PC NKX2-1 NKX6-2","PEG10"
"SIX32",2.94601552200787e-77,1.17181358035326,0.559,0.257,5.10750711050505e-73,"PC NKX2-1 NKX6-2","SIX3"
"SGCE",2.10354229154145e-75,1.0511626944042,0.448,0.168,3.64691127084541e-71,"PC NKX2-1 NKX6-2","SGCE"
"NELL2",1.36763814190179e-74,0.908696375039474,0.448,0.164,2.37107424661513e-70,"PC NKX2-1 NKX6-2","NELL2"
"CRYGD",2.55493397842697e-73,0.795333086073539,0.193,0.037,4.42948903839884e-69,"PC NKX2-1 NKX6-2","CRYGD"
"SHH",4.59032790210434e-72,0.858607129222719,0.122,0.016,7.95825148387829e-68,"PC NKX2-1 NKX6-2","SHH"
"EFNA51",1.92614994009557e-66,0.754299346008018,0.311,0.094,3.33936615114369e-62,"PC NKX2-1 NKX6-2","EFNA5"
"NDN1",1.7397502342161e-65,1.02623184318443,0.718,0.477,3.01620498106046e-61,"PC NKX2-1 NKX6-2","NDN"
"LHX21",2.13828168621615e-63,0.922932965093517,0.512,0.232,3.70713895939294e-59,"PC NKX2-1 NKX6-2","LHX2"
"MEST2",1.82320486156984e-55,0.79357579622606,0.89,0.723,3.16089026850363e-51,"PC NKX2-1 NKX6-2","MEST"
"FOXO1",6.33274537636611e-55,0.576269538799562,0.172,0.038,1.09790806590059e-50,"PC NKX2-1 NKX6-2","FOXO1"
"SHTN1",1.91511832581663e-54,0.754482828136239,0.346,0.126,3.32024064146829e-50,"PC NKX2-1 NKX6-2","SHTN1"
"MBIP1",6.16601221832489e-54,0.901160878060066,0.485,0.226,1.06900153829099e-49,"PC NKX2-1 NKX6-2","MBIP"
"MCTP1",2.41431924615896e-50,0.570299401304742,0.14,0.028,4.1857052770658e-46,"PC NKX2-1 NKX6-2","MCTP1"
"LMO2",2.43431791296324e-50,0.605392370487575,0.16,0.037,4.22037696570438e-46,"PC NKX2-1 NKX6-2","LMO2"
"NKX2-11",6.41613874574942e-48,0.88181141479835,0.443,0.198,1.11236597435058e-43,"PC NKX2-1 NKX6-2","NKX2-1"
"TCF7L2",3.61168104938633e-46,0.835800646948533,0.451,0.216,6.26157143532107e-42,"PC NKX2-1 NKX6-2","TCF7L2"
"SLC35D2",6.91155303021812e-45,0.471622288308212,0.128,0.027,1.19825594884892e-40,"PC NKX2-1 NKX6-2","SLC35D2"
"VGF",3.92076139803209e-42,0.456862969866635,0.113,0.022,6.79742403576824e-38,"PC NKX2-1 NKX6-2","VGF"
"MAP1B",4.95586308854456e-42,0.522290886358252,0.961,0.88,8.59197983660971e-38,"PC NKX2-1 NKX6-2","MAP1B"
"EDNRB1",8.53790951754267e-40,0.596036737990848,0.255,0.089,1.48021737305637e-35,"PC NKX2-1 NKX6-2","EDNRB"
"SEMA5A",5.1416240046233e-39,0.581517864835824,0.238,0.082,8.91403353681541e-35,"PC NKX2-1 NKX6-2","SEMA5A"
"SPARCL11",1.34431095863685e-36,0.456205867209733,0.11,0.023,2.33063190898871e-32,"PC NKX2-1 NKX6-2","SPARCL1"
"SLC2A1",2.51112004376505e-36,0.684512930952362,0.27,0.108,4.35352881987546e-32,"PC NKX2-1 NKX6-2","SLC2A1"
"NRCAM",5.23541309208715e-35,0.611074634566157,0.193,0.063,9.07663567775149e-31,"PC NKX2-1 NKX6-2","NRCAM"
"AMER21",3.77808874976158e-34,0.498449661209057,0.204,0.07,6.55007246546166e-30,"PC NKX2-1 NKX6-2","AMER2"
"RPL31",1.07243032853892e-31,0.308464273442922,0.997,0.999,1.85927246058792e-27,"PC NKX2-1 NKX6-2","RPL3"
"HMGA11",4.24491432172897e-30,0.542948714030396,0.792,0.646,7.35940795958151e-26,"PC NKX2-1 NKX6-2","HMGA1"
"IGFBP52",4.77007867942788e-30,1.2170407470047,0.323,0.164,8.26988540652411e-26,"PC NKX2-1 NKX6-2","IGFBP5"
"NDUFS4",3.60358446544989e-29,0.581386144683341,0.723,0.571,6.24753438775048e-25,"PC NKX2-1 NKX6-2","NDUFS4"
"LOC6942891",3.63280620946968e-29,0.442257045626278,0.916,0.895,6.29819612535759e-25,"PC NKX2-1 NKX6-2","LOC694289"
"TPI1",9.32894371858323e-29,0.559116178512272,0.824,0.69,1.61735897249078e-24,"PC NKX2-1 NKX6-2","TPI1"
"FZD2",4.98339394370845e-28,0.670819209070836,0.434,0.252,8.63971008020734e-24,"PC NKX2-1 NKX6-2","FZD2"
"PCSK1N",9.8896799225632e-28,0.476088289040475,0.73,0.506,1.71457380817478e-23,"PC NKX2-1 NKX6-2","PCSK1N"
"FEZ1",1.59010438237239e-27,0.510873904256382,0.64,0.429,2.75676396771901e-23,"PC NKX2-1 NKX6-2","FEZ1"
"EPHB1",5.2486679262993e-27,0.500031727194587,0.25,0.107,9.0996155838251e-23,"PC NKX2-1 NKX6-2","EPHB1"
"SCRG1",1.14745724146218e-26,0.336192009187788,0.111,0.03,1.98934661952299e-22,"PC NKX2-1 NKX6-2","SCRG1"
"AP1S1",3.2633519141596e-26,0.586698069449655,0.596,0.421,5.6576732135785e-22,"PC NKX2-1 NKX6-2","AP1S1"
"GRIK3",6.06846351495883e-26,0.322668972681583,0.108,0.029,1.05208951958841e-21,"PC NKX2-1 NKX6-2","GRIK3"
"SLIT22",7.33377381454847e-25,0.746051552489593,0.297,0.153,1.27145636622827e-20,"PC NKX2-1 NKX6-2","SLIT2"
"ENO4",1.15104568668229e-23,0.370181627910378,0.111,0.033,1.99556790700109e-19,"PC NKX2-1 NKX6-2","ENO4"
"PHACTR21",6.56791051119661e-23,0.608305450171054,0.328,0.176,1.13867864532616e-18,"PC NKX2-1 NKX6-2","PHACTR2"
"MEIS3",1.27072416517974e-22,0.514932370432238,0.289,0.145,2.20305448517212e-18,"PC NKX2-1 NKX6-2","MEIS3"
"NNAT2",6.97452125969792e-22,0.283479332790238,0.932,0.818,1.20917275079383e-17,"PC NKX2-1 NKX6-2","NNAT"
"FZD8",8.54445656106353e-22,0.448428832716041,0.176,0.071,1.48135243399158e-17,"PC NKX2-1 NKX6-2","FZD8"
"NR2F2",2.32692607210251e-21,0.587824891397219,0.4,0.24,4.03419173120413e-17,"PC NKX2-1 NKX6-2","NR2F2"
"RAB33A",7.1468982415365e-21,0.404860660526114,0.16,0.062,1.23905774813518e-16,"PC NKX2-1 NKX6-2","RAB33A"
"NASP",2.38776540301536e-20,0.399764544901463,0.841,0.766,4.13966887920774e-16,"PC NKX2-1 NKX6-2","NASP"
"FRZB1",3.0350185714587e-20,0.422587375823781,0.204,0.089,5.26181169733795e-16,"PC NKX2-1 NKX6-2","FRZB"
"PMP22",3.77540815007661e-20,0.37341406012782,0.101,0.031,6.54542510978782e-16,"PC NKX2-1 NKX6-2","PMP22"
"PLAGL1",4.07626542163228e-20,0.407287600996997,0.188,0.081,7.06702136148389e-16,"PC NKX2-1 NKX6-2","PLAGL1"
"FGFBP31",1.24498939904466e-19,0.41322951400103,0.448,0.268,2.15843812112372e-15,"PC NKX2-1 NKX6-2","FGFBP3"
"SYT1",1.56136892974047e-19,0.425184252748423,0.257,0.128,2.70694531349105e-15,"PC NKX2-1 NKX6-2","SYT1"
"PMVK",1.75308282104894e-19,0.568409887437191,0.385,0.234,3.03931968685255e-15,"PC NKX2-1 NKX6-2","PMVK"
"ZFAND61",5.87399989223772e-19,0.497051408998813,0.544,0.384,1.01837536131725e-14,"PC NKX2-1 NKX6-2","ZFAND6"
"MARCKS1",8.28245919328771e-19,0.280342939772055,0.981,0.943,1.43592995034029e-14,"PC NKX2-1 NKX6-2","MARCKS"
"NCALD",9.47427866430393e-19,0.439810000681336,0.176,0.076,1.64255569203037e-14,"PC NKX2-1 NKX6-2","NCALD"
"TXNIP",2.64287498066355e-17,0.461618262988017,0.201,0.096,4.5819523539764e-13,"PC NKX2-1 NKX6-2","TXNIP"
"SVIL",3.38499815386398e-17,0.371596155341899,0.123,0.047,5.86857129935398e-13,"PC NKX2-1 NKX6-2","SVIL"
"MDK1",4.46706403697345e-17,0.341367265520124,0.894,0.828,7.74454892090087e-13,"PC NKX2-1 NKX6-2","MDK"
"DNAJC1",3.27459063202193e-16,0.478592944791252,0.382,0.243,5.67715777873643e-12,"PC NKX2-1 NKX6-2","DNAJC1"
"SERPINH11",1.44935474044652e-15,0.471458040798068,0.323,0.198,2.51274631351214e-11,"PC NKX2-1 NKX6-2","SERPINH1"
"SHB",2.00677842319941e-15,0.322424559339109,0.108,0.041,3.47915175230082e-11,"PC NKX2-1 NKX6-2","SHB"
"GAS6",5.02490010449775e-15,0.357443326482978,0.13,0.054,8.71166931116775e-11,"PC NKX2-1 NKX6-2","GAS6"
